t,T,s,i,o,c,h,l,v,n
2020-08-19,2020-08-19 23:59:59.999,BTC,1d,11962.0,11763.9,12037.1,11574.8,0.0,0
2020-08-20,2020-08-20 23:59:59.999,BTC,1d,11763.9,11857.9,11888.0,11676.0,0.0,0
2020-08-21,2020-08-21 23:59:59.999,BTC,1d,11858.5,11538.5,11882.7,11491.0,0.0,0
2020-08-22,2020-08-22 23:59:59.999,BTC,1d,11538.5,11670.5,11689.1,11385.1,0.0,0
2020-08-23,2020-08-23 23:59:59.999,BTC,1d,11670.5,11654.0,11724.0,11522.2,0.0,0
2020-08-24,2020-08-24 23:59:59.999,BTC,1d,11654.0,11753.3,11832.0,11595.0,0.0,0
2020-08-25,2020-08-25 23:59:59.999,BTC,1d,11753.3,11327.2,11770.0,11130.0,0.0,0
2020-08-26,2020-08-26 23:59:59.999,BTC,1d,11327.2,11466.2,11548.7,11256.0,0.0,0
2020-08-27,2020-08-27 23:59:59.999,BTC,1d,11466.2,11335.5,11593.0,11130.8,0.0,0
2020-08-28,2020-08-28 23:59:59.999,BTC,1d,11335.8,11526.9,11544.9,11283.2,0.0,0
2020-08-29,2020-08-29 23:59:59.999,BTC,1d,11526.9,11466.7,11582.0,11419.3,0.0,0
2020-08-30,2020-08-30 23:59:59.999,BTC,1d,11466.3,11714.1,11724.1,11457.9,0.0,0
2020-08-31,2020-08-31 23:59:59.999,BTC,1d,11714.1,11658.1,11784.2,11575.8,0.0,0
2020-09-01,2020-09-01 23:59:59.999,BTC,1d,11658.1,11930.2,12061.1,11531.3,0.0,0
2020-09-02,2020-09-02 23:59:59.999,BTC,1d,11930.2,11397.0,11961.0,11156.0,0.0,0
2020-09-03,2020-09-03 23:59:59.999,BTC,1d,11396.4,10141.1,11475.0,9901.2,0.0,0
2020-09-04,2020-09-04 23:59:59.999,BTC,1d,10141.4,10448.0,10635.8,9878.7,0.0,0
2020-09-05,2020-09-05 23:59:59.999,BTC,1d,10448.0,10168.7,10567.9,9808.6,0.0,0
2020-09-06,2020-09-06 23:59:59.999,BTC,1d,10168.2,10258.1,10349.0,10003.0,0.0,0
2020-09-07,2020-09-07 23:59:59.999,BTC,1d,10258.1,10378.8,10420.6,9879.7,0.0,0
2020-09-08,2020-09-08 23:59:59.999,BTC,1d,10379.3,10129.0,10443.8,9842.0,0.0,0
2020-09-09,2020-09-09 23:59:59.999,BTC,1d,10130.0,10219.3,10346.0,9981.1,0.0,0
2020-09-10,2020-09-10 23:59:59.999,BTC,1d,10219.3,10335.9,10484.6,10211.7,0.0,0
2020-09-11,2020-09-11 23:59:59.999,BTC,1d,10335.9,10387.8,10397.9,10200.8,0.0,0
2020-09-12,2020-09-12 23:59:59.999,BTC,1d,10387.8,10438.3,10477.7,10271.0,0.0,0
2020-09-13,2020-09-13 23:59:59.999,BTC,1d,10438.3,10327.7,10580.0,10209.0,0.0,0
2020-09-14,2020-09-14 23:59:59.999,BTC,1d,10327.7,10664.1,10746.1,10241.6,0.0,0
2020-09-15,2020-09-15 23:59:59.999,BTC,1d,10664.1,10776.8,10923.4,10592.0,0.0,0
2020-09-16,2020-09-16 23:59:59.999,BTC,1d,10776.9,10948.2,11089.1,10661.9,0.0,0
2020-09-17,2020-09-17 23:59:59.999,BTC,1d,10948.2,10935.3,11040.0,10740.0,0.0,0
2020-09-18,2020-09-18 23:59:59.999,BTC,1d,10936.0,10926.3,11035.0,10810.1,0.0,0
2020-09-19,2020-09-19 23:59:59.999,BTC,1d,10926.3,11073.7,11177.0,10880.0,0.0,0
2020-09-20,2020-09-20 23:59:59.999,BTC,1d,11073.2,10914.3,11073.9,10751.0,0.0,0
2020-09-21,2020-09-21 23:59:59.999,BTC,1d,10915.5,10414.7,10980.7,10281.0,0.0,0
2020-09-22,2020-09-22 23:59:59.999,BTC,1d,10414.7,10523.3,10574.1,10353.1,0.0,0
2020-09-23,2020-09-23 23:59:59.999,BTC,1d,10523.3,10237.9,10531.9,10132.2,0.0,0
2020-09-24,2020-09-24 23:59:59.999,BTC,1d,10237.9,10724.9,10837.3,10191.0,0.0,0
2020-09-25,2020-09-25 23:59:59.999,BTC,1d,10724.9,10683.5,10754.3,10551.6,0.0,0
2020-09-26,2020-09-26 23:59:59.999,BTC,1d,10683.5,10726.5,10827.8,10642.2,0.0,0
2020-09-27,2020-09-27 23:59:59.999,BTC,1d,10726.5,10768.0,10793.5,10584.0,0.0,0
2020-09-28,2020-09-28 23:59:59.999,BTC,1d,10768.0,10691.5,11024.0,10627.2,0.0,0
2020-09-29,2020-09-29 23:59:59.999,BTC,1d,10691.9,10837.0,10863.9,10631.5,0.0,0
2020-09-30,2020-09-30 23:59:59.999,BTC,1d,10837.0,10773.0,10846.0,10660.1,0.0,0
2020-10-01,2020-10-01 23:59:59.999,BTC,1d,10773.0,10612.6,10935.1,10442.0,0.0,0
2020-10-02,2020-10-02 23:59:59.999,BTC,1d,10612.6,10565.2,10660.0,10371.0,0.0,0
2020-10-03,2020-10-03 23:59:59.999,BTC,1d,10565.4,10538.0,10596.0,10491.1,0.0,0
2020-10-04,2020-10-04 23:59:59.999,BTC,1d,10538.0,10660.2,10694.0,10514.0,0.0,0
2020-10-05,2020-10-05 23:59:59.999,BTC,1d,10660.2,10785.0,10792.0,10608.9,0.0,0
2020-10-06,2020-10-06 23:59:59.999,BTC,1d,10785.0,10593.7,10792.0,10510.7,0.0,0
2020-10-07,2020-10-07 23:59:59.999,BTC,1d,10593.7,10658.8,10675.0,10540.3,0.0,0
2020-10-08,2020-10-08 23:59:59.999,BTC,1d,10658.8,10919.5,10958.0,10523.0,0.0,0
