t,T,s,i,o,c,h,l,v,n
2025-01-20,2025-01-20 23:59:59.999,MELANIA,1d,11.272,3.7704,16.9,3.63,59825549.1000000015,419282
2025-01-21,2025-01-21 23:59:59.999,MELANIA,1d,3.7772,4.1692,5.1365,3.3,41329161.6000000015,161512
2025-01-22,2025-01-22 23:59:59.999,MELANIA,1d,4.1629,3.4621,4.2576,3.3751,12112224.4000000004,56413
2025-01-23,2025-01-23 23:59:59.999,MELANIA,1d,3.4611,2.7401,3.5043,2.54,26269742.6999999993,71902
2025-01-24,2025-01-24 23:59:59.999,MELANIA,1d,2.7456,2.474,2.8338,2.42,12339574.8000000007,37418
2025-01-25,2025-01-25 23:59:59.999,MELANIA,1d,2.4711,2.7349,3.0319,2.2564,17097573.1000000015,52823
2025-01-26,2025-01-26 23:59:59.999,MELANIA,1d,2.7349,2.3902,2.8838,2.3684,8028641.0999999996,24368
2025-01-27,2025-01-27 23:59:59.999,MELANIA,1d,2.3927,2.5867,2.6831,2.2725,7798670.9000000004,23532
2025-01-28,2025-01-28 23:59:59.999,MELANIA,1d,2.5874,2.3078,2.7809,2.2558,6229503.4000000004,21503
2025-01-29,2025-01-29 23:59:59.999,MELANIA,1d,2.3153,2.2368,2.3842,2.18,4551650.0999999996,14304
2025-01-30,2025-01-30 23:59:59.999,MELANIA,1d,2.2363,2.1112,2.3107,2.108,4750048.4000000004,16108
2025-01-31,2025-01-31 23:59:59.999,MELANIA,1d,2.1113,1.933,2.1456,1.9105,6227414.7000000002,15495
2025-02-01,2025-02-01 23:59:59.999,MELANIA,1d,1.933,1.5661,1.97,1.5599,12594796.5999999996,25064
2025-02-02,2025-02-02 23:59:59.999,MELANIA,1d,1.5671,1.5744,1.771,1.4509,14379131.0,29601
2025-02-03,2025-02-03 23:59:59.999,MELANIA,1d,1.578,1.4928,1.583,1.2288,14089808.8000000007,33099
2025-02-04,2025-02-04 23:59:59.999,MELANIA,1d,1.4931,1.6347,1.77,1.3779,19852690.8999999985,45064
2025-02-05,2025-02-05 23:59:59.999,MELANIA,1d,1.6368,1.6152,1.795,1.576,9884244.1999999993,21338
2025-02-06,2025-02-06 23:59:59.999,MELANIA,1d,1.6156,1.471,1.6312,1.4501,4048424.5,10761
2025-02-07,2025-02-07 23:59:59.999,MELANIA,1d,1.4708,1.4798,1.5601,1.4352,4417953.5999999996,10820
2025-02-08,2025-02-08 23:59:59.999,MELANIA,1d,1.4792,1.4884,1.5141,1.4484,2371689.0,7778
2025-02-09,2025-02-09 23:59:59.999,MELANIA,1d,1.4885,1.4547,1.5263,1.3935,2684999.7999999998,7193
2025-02-10,2025-02-10 23:59:59.999,MELANIA,1d,1.4548,1.4286,1.5,1.4106,2695599.8999999999,9178
2025-02-11,2025-02-11 23:59:59.999,MELANIA,1d,1.4314,1.4037,1.4979,1.39,2544215.2000000002,7346
2025-02-12,2025-02-12 23:59:59.999,MELANIA,1d,1.4033,1.4303,1.444,1.3743,2831668.6000000001,9009
2025-02-13,2025-02-13 23:59:59.999,MELANIA,1d,1.4303,1.3959,1.4784,1.3744,2654870.8999999999,6681
2025-02-14,2025-02-14 23:59:59.999,MELANIA,1d,1.3991,1.4419,1.6071,1.3963,7896643.2000000002,18771
2025-02-15,2025-02-15 23:59:59.999,MELANIA,1d,1.4426,1.3319,1.4513,1.3112,4548971.9000000004,12416
2025-02-16,2025-02-16 23:59:59.999,MELANIA,1d,1.3319,1.2988,1.3468,1.282,3354751.7000000002,9032
2025-02-17,2025-02-17 23:59:59.999,MELANIA,1d,1.2971,1.2734,1.3087,1.2179,13179473.0,23303
2025-02-18,2025-02-18 23:59:59.999,MELANIA,1d,1.2738,1.2448,1.2922,1.1911,6989458.5999999996,13735
2025-02-19,2025-02-19 23:59:59.999,MELANIA,1d,1.2468,1.2188,1.2612,1.1916,4602422.5999999996,13094
2025-02-20,2025-02-20 23:59:59.999,MELANIA,1d,1.2205,1.2681,1.275,1.2146,3641686.3999999999,7085
2025-02-21,2025-02-21 23:59:59.999,MELANIA,1d,1.2724,1.2556,1.2911,1.2224,4337836.5,6587
2025-02-22,2025-02-22 23:59:59.999,MELANIA,1d,1.2545,1.2731,1.282,1.2515,1922021.7,4969
2025-02-23,2025-02-23 23:59:59.999,MELANIA,1d,1.273,1.2504,1.2969,1.2387,1361190.7,3668
2025-02-24,2025-02-24 23:59:59.999,MELANIA,1d,1.2535,0.9962,1.2632,0.98112,6147564.7000000002,8689
2025-02-25,2025-02-25 23:59:59.999,MELANIA,1d,0.99696,0.94091,1.0253,0.88758,8739995.3000000007,12943
2025-02-26,2025-02-26 23:59:59.999,MELANIA,1d,0.94053,0.86981,0.94937,0.83625,8697146.0999999996,10958
2025-02-27,2025-02-27 23:59:59.999,MELANIA,1d,0.86992,0.8568,0.9033,0.83859,3839576.3999999999,6805
2025-02-28,2025-02-28 23:59:59.999,MELANIA,1d,0.8567,0.8647,0.87552,0.7928,10999073.4000000004,9616
2025-03-01,2025-03-01 23:59:59.999,MELANIA,1d,0.86473,0.8529,0.91707,0.839,4139870.7999999998,8551
2025-03-02,2025-03-02 23:59:59.999,MELANIA,1d,0.85181,0.92444,0.9421,0.83454,6431771.2999999998,8812
2025-03-03,2025-03-03 23:59:59.999,MELANIA,1d,0.9252,0.80306,0.9252,0.7793,6541390.9000000004,8870
