,t,T,s,i,o,c,h,l,v,n
0,2025-01-18,2025-01-18 23:59:59.999,TRUMP,1d,8.7494,28.433,35.0,8.6541,69452445.599999994,904123
1,2025-01-19,2025-01-19 23:59:59.999,TRUMP,1d,28.433,46.632,88.8,24.01,97010247.099999994,2051402
2,2025-01-20,2025-01-20 23:59:59.999,TRUMP,1d,46.644,36.47,64.239,34.5,51310790.5,1426154
3,2025-01-21,2025-01-21 23:59:59.999,TRUMP,1d,36.48,43.808,48.536,30.331,41349756.6000000015,936482
4,2025-01-22,2025-01-22 23:59:59.999,TRUMP,1d,43.809,36.848,44.56,36.092,12954739.9000000004,369163
5,2025-01-23,2025-01-23 23:59:59.999,TRUMP,1d,36.871,34.705,39.672,34.098,15706224.0999999996,264843
6,2025-01-24,2025-01-24 23:59:59.999,TRUMP,1d,34.7,30.172,35.473,29.094,8634000.0,141578
7,2025-01-25,2025-01-25 23:59:59.999,TRUMP,1d,30.192,28.894,30.648,25.715,16387296.8000000007,222232
8,2025-01-26,2025-01-26 23:59:59.999,TRUMP,1d,28.903,27.402,32.357,27.075,10629667.8000000007,162503
9,2025-01-27,2025-01-27 23:59:59.999,TRUMP,1d,27.388,28.043,28.262,24.65,11765255.8000000007,150473
10,2025-01-28,2025-01-28 23:59:59.999,TRUMP,1d,28.044,27.331,30.544,26.272,10789439.0999999996,177681
11,2025-01-29,2025-01-29 23:59:59.999,TRUMP,1d,27.328,27.253,28.701,26.3,4819148.2000000002,79517
12,2025-01-30,2025-01-30 23:59:59.999,TRUMP,1d,27.263,26.06,28.325,25.797,3185240.8999999999,64743
13,2025-01-31,2025-01-31 23:59:59.999,TRUMP,1d,26.051,24.137,26.666,23.639,4456491.9000000004,69596
14,2025-02-01,2025-02-01 23:59:59.999,TRUMP,1d,24.134,19.68,25.042,18.519,11164878.6999999993,117163
15,2025-02-02,2025-02-02 23:59:59.999,TRUMP,1d,19.677,21.004,22.626,19.364,11825561.5999999996,150058
16,2025-02-03,2025-02-03 23:59:59.999,TRUMP,1d,21.017,19.672,21.199,15.881,15171672.5,178231
17,2025-02-04,2025-02-04 23:59:59.999,TRUMP,1d,19.673,17.197,19.791,16.326,7039800.9000000004,90526
18,2025-02-05,2025-02-05 23:59:59.999,TRUMP,1d,17.196,18.155,20.647,17.196,6966791.7999999998,90753
19,2025-02-06,2025-02-06 23:59:59.999,TRUMP,1d,18.166,17.087,19.509,16.799,4615670.0,60579
20,2025-02-07,2025-02-07 23:59:59.999,TRUMP,1d,17.088,16.571,18.259,16.15,4575001.9000000004,60998
21,2025-02-08,2025-02-08 23:59:59.999,TRUMP,1d,16.559,17.24,17.482,16.194,2068734.7,26520
22,2025-02-09,2025-02-09 23:59:59.999,TRUMP,1d,17.248,15.874,17.932,15.322,3219083.0,38544
23,2025-02-10,2025-02-10 23:59:59.999,TRUMP,1d,15.862,15.903,16.546,14.344,3163858.2000000002,40294
24,2025-02-11,2025-02-11 23:59:59.999,TRUMP,1d,15.914,15.351,16.794,15.211,1457214.8999999999,21178
25,2025-02-12,2025-02-12 23:59:59.999,TRUMP,1d,15.331,15.452,15.561,14.459,2021647.3,29696
26,2025-02-13,2025-02-13 23:59:59.999,TRUMP,1d,15.446,16.292,17.946,15.289,4224811.7000000002,58121
27,2025-02-14,2025-02-14 23:59:59.999,TRUMP,1d,16.293,21.563,24.48,15.838,11784789.0,142271
28,2025-02-15,2025-02-15 23:59:59.999,TRUMP,1d,21.517,18.675,22.4,18.1,6359604.2999999998,97571
29,2025-02-16,2025-02-16 23:59:59.999,TRUMP,1d,18.649,18.744,19.57,18.233,2772448.2000000002,46242
30,2025-02-17,2025-02-17 23:59:59.999,TRUMP,1d,18.745,17.179,19.341,16.821,4544672.5999999996,51740
31,2025-02-18,2025-02-18 23:59:59.999,TRUMP,1d,17.156,16.367,17.427,15.606,4272230.7000000002,42141
32,2025-02-19,2025-02-19 23:59:59.999,TRUMP,1d,16.369,17.03,17.409,16.054,2606096.6000000001,31811
33,2025-02-20,2025-02-20 23:59:59.999,TRUMP,1d,17.06,17.092,17.453,16.573,1656758.7,21442
34,2025-02-21,2025-02-21 23:59:59.999,TRUMP,1d,17.088,15.897,17.39,15.67,2294399.1000000001,24295
35,2025-02-22,2025-02-22 23:59:59.999,TRUMP,1d,15.899,16.524,16.781,15.738,1148463.7,20836
36,2025-02-23,2025-02-23 23:59:59.999,TRUMP,1d,16.525,16.134,16.6,15.819,555914.5,9531
37,2025-02-24,2025-02-24 23:59:59.999,TRUMP,1d,16.134,12.928,16.299,12.241,3132354.6000000001,26752
38,2025-02-25,2025-02-25 23:59:59.999,TRUMP,1d,12.929,13.244,13.647,12.329,3531661.0,33121
39,2025-02-26,2025-02-26 23:59:59.999,TRUMP,1d,13.25,13.305,13.336,12.441,1613436.6000000001,17562
40,2025-02-27,2025-02-27 23:59:59.999,TRUMP,1d,13.288,12.59,13.636,12.34,1292524.7,15115
41,2025-02-28,2025-02-28 23:59:59.999,TRUMP,1d,12.59,12.955,13.529,11.076,6599233.0,46464
42,2025-03-01,2025-03-01 23:59:59.999,TRUMP,1d,12.955,13.165,14.497,12.666,3318662.3999999999,32946
